float_id,date,latitude,longitude,depth,pressure,temperature,salinity,basin
6902767,2021-01-24T05:00:20,41.2001,9.9173,482.0,494.0,,38.778,Tyrrhenian
6902767,2021-01-24T05:00:20,41.2001,9.9173,91.6,93.9,14.398,38.563,Tyrrhenian
6902773,2021-01-24T05:58:30,38.1615,9.137,173.6,177.9,,38.518,Western Mediterranean
6903065,2021-01-24T07:20:30,35.7952,-3.9344,58.7,60.2,15.224,,Western Mediterranean
6903016,2021-01-24T11:48:30,35.5659,-3.1836,,54.1,16.126,,Western Mediterranean
6903016,2021-01-24T11:48:30,35.5659,-3.1836,122.1,125.2,16.134,36.536,Western Mediterranean
6902718,2021-01-24T22:52:30,33.4343,26.2232,377.9,387.3,14.568,,Eastern Mediterranean
6902718,2021-01-24T22:52:30,33.4343,26.2232,354.0,362.8,14.664,,Eastern Mediterranean
6902845,2021-01-24T22:53:30,33.1806,28.1422,152.1,155.9,16.415,39.161,Eastern Mediterranean
6902845,2021-01-24T22:53:30,33.1806,28.1422,,45.6,18.653,,Eastern Mediterranean
6902965,2021-01-25T02:23:30,42.9247,5.9083,479.6,491.6,13.981,38.685,Western Mediterranean
6901278,2021-01-25T04:43:20,40.0835,5.4297,388.6,398.3,13.843,38.638,Western Mediterranean
6902875,2021-01-25T05:10:30,37.3304,18.3104,306.4,314.1,15.132,39.08,Western Mediterranean
6902870,2021-01-25T05:11:30,35.0351,17.1089,,358.0,14.588,38.937,Western Mediterranean
6902870,2021-01-25T05:11:30,35.0351,17.1089,341.4,349.9,14.61,38.94,Western Mediterranean
6902873,2021-01-25T05:26:30,33.3975,22.9601,405.6,415.7,14.555,38.93,Eastern Mediterranean
6902944,2021-01-25T05:58:30,39.3196,10.9254,167.7,171.9,14.574,38.674,Tyrrhenian
6902898,2021-01-25T09:34:00,34.4706,29.1423,119.5,122.5,16.041,39.184,Eastern Mediterranean
6902898,2021-01-25T09:34:00,34.4706,29.1423,197.4,202.3,15.128,39.072,Eastern Mediterranean
6902899,2021-01-25T11:34:00,41.9907,6.4262,242.5,248.6,13.823,38.619,Western Mediterranean
6902899,2021-01-25T11:34:00,41.9907,6.4262,170.3,174.6,13.391,38.363,Western Mediterranean
